seller_id,seller_name,state,city,seller_rating,total_products_listed,joined_date,seller_tier,fulfillment_type,gst_registered,return_acceptance_rate
SELL00022,Patel Enterprises,Telangana,Hyderabad,3.4,433,2023-09-01 12:11:22,Standard,FlipMart Fulfilled,True,0.821
SELL00023,Kapoor Mart,Tamil Nadu,Salem,4.9,653,2024-01-03 17:25:17,Platinum,FlipMart Fulfilled,True,0.846
SELL00024,Bajaj Mart,Telangana,Warangal,4.1,537,2021-10-31 20:07:16,Standard,FlipMart Fulfilled,True,1.0
SELL00025,Verma Mart,Tamil Nadu,Madurai,4.1,503,2021-07-04 01:19:02,Standard,Easy Ship,True,0.874
SELL00026,Pandey Trading,Rajasthan,Jaipur,3.6,381,2023-12-01 15:33:21,Preferred,FlipMart Fulfilled,True,0.88
SELL00027,Iyer Retail,Delhi,New Delhi,3.7,484,2024-03-30 05:15:40,Preferred,Self Ship,False,0.962
SELL00028,Mehta Retail,Madhya Pradesh,Jabalpur,3.9,319,2022-08-01 13:46:46,Elite,Self Ship,True,0.841
SELL00029,Das Enterprises,Karnataka,Mangaluru,5.0,421,2022-04-08 04:02:10,Standard,Easy Ship,False,0.899
SELL00030,Bajaj Enterprises,Maharashtra,Pune,3.8,614,2021-06-05 05:57:46,Preferred,FlipMart Fulfilled,True,1.0
SELL00031,Banerjee Trading,Telangana,Nizamabad,3.2,765,2022-11-02 12:15:05,Elite,Easy Ship,True,0.863
SELL00032,Nair Enterprises,Maharashtra,Nashik,3.1,35,2021-09-03 15:15:50,Standard,FlipMart Fulfilled,True,0.828
SELL00033,Rao Stores,Telangana,Nizamabad,4.1,334,2022-01-09 17:36:49,Standard,Easy Ship,True,0.874
SELL00034,Shah Stores,Rajasthan,Udaipur,4.4,246,2023-02-13 10:39:43,Elite,FlipMart Fulfilled,True,1.0
SELL00035,Garg Stores,Karnataka,Mysuru,3.2,235,2022-11-01 20:08:06,Standard,FlipMart Fulfilled,True,0.801
SELL00036,Das Trading,Uttar Pradesh,Lucknow,3.5,264,2023-04-24 14:39:23,Platinum,FlipMart Fulfilled,True,0.887
SELL00037,Tiwari Stores,Madhya Pradesh,Gwalior,5.0,28,2023-04-06 11:37:35,Preferred,Easy Ship,True,1.0
SELL00038,Malhotra Retail,Delhi,Rohini,3.6,440,2021-03-25 18:58:18,Standard,Self Ship,True,0.812
SELL00039,Sharma Retail,Telangana,Warangal,3.9,139,2022-09-17 13:48:22,Preferred,FlipMart Fulfilled,True,0.944
SELL00040,Gupta Trading,Tamil Nadu,Salem,3.9,487,2021-11-04 18:35:32,Standard,FlipMart Fulfilled,True,0.836
SELL00041,Reddy Enterprises,West Bengal,Asansol,4.3,327,2023-05-04 07:44:07,Standard,Self Ship,True,0.864
SELL00042,Mehta Stores,Telangana,Warangal,3.6,777,2021-10-18 23:04:37,Preferred,FlipMart Fulfilled,True,0.926
SELL00043,Das Stores,Rajasthan,Udaipur,4.0,699,2021-11-20 01:47:51,Elite,Self Ship,True,1.0
SELL00044,Das Trading,Rajasthan,Jodhpur,2.9,481,2022-09-13 00:29:42,Platinum,Easy Ship,True,0.917
SELL00045,Banerjee Trading,Tamil Nadu,Madurai,3.9,62,2024-02-13 10:37:43,Standard,FlipMart Fulfilled,False,0.891
SELL00046,Bajaj Mart,Tamil Nadu,Chennai,3.6,487,2021-04-27 21:04:36,Elite,FlipMart Fulfilled,True,0.752
SELL00047,Kumar Enterprises,Gujarat,Ahmedabad,4.7,6,2024-02-28 11:56:55,Standard,FlipMart Fulfilled,True,0.679
SELL00048,Banerjee Stores,Karnataka,Hubli,3.6,321,2021-01-21 20:38:13,Standard,Self Ship,True,0.899
SELL00049,Iyer Mart,Maharashtra,Pune,3.1,8,2021-05-08 18:33:06,Elite,Self Ship,True,0.81
SELL00050,Nair Enterprises,Uttar Pradesh,Agra,3.0,149,2021-12-11 06:09:25,Elite,FlipMart Fulfilled,True,0.715
SELL00051,Gupta Enterprises,Karnataka,Bengaluru,4.2,210,2023-06-28 23:47:18,Standard,Self Ship,True,0.909
SELL00052,Banerjee Stores,Telangana,Karimnagar,4.4,493,2023-11-11 17:28:44,Preferred,Easy Ship,True,0.851
SELL00053,Pandey Trading,Tamil Nadu,Madurai,4.0,594,2023-02-21 16:28:57,Standard,Easy Ship,True,0.862
SELL00054,Nair Stores,Rajasthan,Jodhpur,3.7,349,2021-01-31 20:12:03,Standard,FlipMart Fulfilled,True,0.889
SELL00055,Yadav Retail,Maharashtra,Mumbai,5.0,67,2022-09-06 18:12:37,Preferred,Self Ship,False,0.831
SELL00056,Rao Retail,Rajasthan,Jodhpur,5.0,208,2024-01-30 13:50:09,Elite,FlipMart Fulfilled,True,0.919
SELL00057,Pandey Stores,Uttar Pradesh,Agra,5.0,706,2022-06-29 16:39:30,Elite,Self Ship,True,0.812
SELL00058,Patel Mart,Maharashtra,Nashik,3.2,670,2022-12-28 16:04:03,Standard,FlipMart Fulfilled,True,0.906
SELL00059,Garg Trading,West Bengal,Asansol,3.8,258,2022-09-02 12:14:19,Standard,Self Ship,False,0.906
SELL00060,Das Enterprises,Maharashtra,Nagpur,4.1,300,2023-10-21 08:29:27,Standard,Easy Ship,True,0.911
SELL00061,Verma Retail,Telangana,Nizamabad,3.3,672,2023-02-28 09:41:02,Standard,FlipMart Fulfilled,True,0.964
SELL00062,Das Enterprises,Maharashtra,Nashik,3.8,301,2021-06-26 01:29:38,Preferred,Self Ship,True,0.8
SELL00063,Gupta Enterprises,Telangana,Hyderabad,3.5,792,2023-04-20 23:19:29,Standard,Easy Ship,True,0.835
SELL00064,Iyer Mart,Telangana,Hyderabad,4.0,452,2023-10-11 22:00:40,Platinum,FlipMart Fulfilled,True,0.938
SELL00065,Joshi Mart,Gujarat,Vadodara,3.9,184,2022-06-29 02:56:16,Elite,Easy Ship,True,0.876
SELL00066,Malhotra Trading,Delhi,Rohini,4.8,663,2021-08-04 03:49:52,Standard,FlipMart Fulfilled,False,0.895
SELL00067,Kapoor Mart,Delhi,Rohini,3.0,41,2022-07-21 10:09:00,Standard,FlipMart Fulfilled,True,1.0
SELL00068,Pandey Enterprises,Gujarat,Ahmedabad,4.4,222,2022-06-04 22:39:56,Standard,FlipMart Fulfilled,True,0.938
SELL00069,Yadav Trading,Punjab,Patiala,3.5,25,2024-02-15 19:28:21,Platinum,Easy Ship,True,0.991
SELL00070,Shah Enterprises,Telangana,Karimnagar,4.7,488,2021-07-10 04:11:21,Preferred,FlipMart Fulfilled,True,0.784
SELL00071,Garg Mart,Punjab,Patiala,3.3,458,2022-05-31 11:47:35,Standard,FlipMart Fulfilled,True,0.852
SELL00072,Yadav Stores,Maharashtra,Mumbai,4.0,659,2021-07-07 22:15:24,Elite,Self Ship,True,0.761
SELL00073,Yadav Stores,Karnataka,Mysuru,4.5,123,2022-05-23 02:35:41,Preferred,Self Ship,True,0.867
SELL00074,Singh Enterprises,Delhi,Rohini,3.0,651,2023-01-14 00:19:45,Elite,FlipMart Fulfilled,True,0.929
SELL00075,Singh Retail,Delhi,Lajpat Nagar,3.1,498,2021-05-21 23:54:16,Standard,FlipMart Fulfilled,True,0.702
SELL00076,Malhotra Mart,Karnataka,Bengaluru,3.6,262,2024-01-03 10:33:08,Standard,Self Ship,True,0.822
SELL00077,Nair Trading,Telangana,Nizamabad,3.8,709,2022-07-23 12:46:22,Standard,Self Ship,True,1.0
SELL00078,Tiwari Retail,Maharashtra,Nagpur,3.6,135,2023-06-26 19:29:57,Preferred,Self Ship,True,0.876
SELL00079,Joshi Trading,Tamil Nadu,Salem,3.2,518,2023-03-14 12:23:09,Preferred,Easy Ship,True,0.782
SELL00080,Bajaj Enterprises,Uttar Pradesh,Agra,4.4,302,2024-01-17 13:46:47,Standard,Self Ship,True,0.985
SELL00081,Pandey Mart,Madhya Pradesh,Jabalpur,4.7,189,2022-10-07 11:14:15,Preferred,FlipMart Fulfilled,True,0.864
SELL00082,Yadav Retail,Telangana,Karimnagar,3.9,452,2022-11-04 09:46:44,Standard,Easy Ship,True,0.914
SELL00083,Sharma Retail,Maharashtra,Pune,4.7,272,2023-03-12 00:43:16,Preferred,Easy Ship,True,1.0
SELL00084,Malhotra Stores,Telangana,Warangal,3.3,53,2021-01-11 14:42:12,Standard,Self Ship,True,0.813
SELL00085,Malhotra Stores,Maharashtra,Nashik,4.2,666,2023-10-03 17:09:03,Elite,Easy Ship,True,0.838
SELL00086,Bajaj Retail,Punjab,Patiala,4.2,360,2023-12-21 00:22:21,Preferred,Self Ship,True,0.757
SELL00087,Reddy Stores,Rajasthan,Udaipur,4.5,315,2022-10-24 23:49:44,Preferred,FlipMart Fulfilled,True,0.84
SELL00088,Nair Trading,Maharashtra,Mumbai,4.9,412,2021-10-10 15:56:05,Standard,FlipMart Fulfilled,False,0.874
SELL00089,Bajaj Enterprises,Punjab,Ludhiana,4.1,712,2022-03-07 03:14:24,Standard,FlipMart Fulfilled,True,0.958
SELL00090,Kapoor Enterprises,Maharashtra,Mumbai,4.3,380,2023-10-18 17:09:44,Standard,FlipMart Fulfilled,True,0.766
SELL00091,Yadav Trading,West Bengal,Asansol,4.2,533,2023-12-14 02:10:18,Elite,Self Ship,True,0.903
SELL00092,Iyer Mart,Tamil Nadu,Madurai,4.3,264,2022-05-01 23:01:20,Preferred,Easy Ship,True,0.92
SELL00093,Agarwal Enterprises,Madhya Pradesh,Indore,4.6,258,2024-03-05 19:30:00,Platinum,Self Ship,True,0.814
SELL00094,Shah Retail,Uttar Pradesh,Varanasi,3.9,694,2024-03-20 00:56:20,Elite,FlipMart Fulfilled,True,0.848
SELL00095,Pandey Trading,Telangana,Karimnagar,4.8,232,2023-04-07 00:48:04,Platinum,FlipMart Fulfilled,True,0.693
SELL00096,Yadav Retail,Delhi,Dwarka,4.0,155,2023-09-12 16:22:17,Elite,Self Ship,True,0.963
SELL00097,Patel Stores,Telangana,Warangal,3.7,416,2023-06-15 04:27:55,Preferred,Easy Ship,True,0.842
SELL00098,Mishra Retail,West Bengal,Kolkata,3.4,300,2021-04-23 04:56:29,Standard,FlipMart Fulfilled,True,0.894
SELL00099,Rao Stores,Delhi,Rohini,4.2,146,2022-10-10 17:22:10,Preferred,Self Ship,True,0.937
SELL00100,Iyer Enterprises,Maharashtra,Mumbai,3.2,24,2021-09-29 14:58:52,Standard,FlipMart Fulfilled,True,0.811
SELL00101,Bajaj Stores,Kerala,Thiruvananthapuram,4.3,505,2021-12-14 04:31:03,Standard,FlipMart Fulfilled,True,0.857
SELL00102,Yadav Enterprises,Tamil Nadu,Coimbatore,3.5,365,2022-07-16 14:38:03,Standard,Self Ship,True,0.99
SELL00103,Tiwari Enterprises,Delhi,New Delhi,3.4,621,2023-10-29 12:45:07,Preferred,Self Ship,True,0.857
SELL00104,Mishra Stores,West Bengal,Durgapur,3.9,289,2023-04-09 03:50:27,Standard,FlipMart Fulfilled,True,0.81
SELL00105,Iyer Enterprises,Maharashtra,Nashik,2.8,340,2022-06-23 03:25:09,Standard,FlipMart Fulfilled,False,0.759
SELL00106,Singh Enterprises,Rajasthan,Udaipur,3.4,681,2023-07-15 00:52:50,Preferred,FlipMart Fulfilled,True,0.935
SELL00107,Rao Mart,Telangana,Warangal,4.0,770,2022-11-12 16:50:44,Platinum,Self Ship,True,0.883
SELL00108,Mishra Trading,Telangana,Nizamabad,3.6,470,2023-09-04 08:24:35,Standard,Easy Ship,True,0.74
SELL00109,Mishra Mart,Punjab,Ludhiana,3.6,351,2022-02-07 04:55:25,Preferred,Easy Ship,False,0.8
SELL00110,Patel Mart,Maharashtra,Nashik,5.0,651,2021-02-02 14:00:33,Preferred,FlipMart Fulfilled,True,0.836
SELL00111,Iyer Trading,West Bengal,Kolkata,4.2,273,2021-02-24 17:13:38,Preferred,FlipMart Fulfilled,True,0.89
SELL00112,Joshi Retail,Punjab,Patiala,3.5,593,2023-01-10 22:07:46,Elite,FlipMart Fulfilled,True,0.902
SELL00113,Verma Retail,Gujarat,Surat,3.5,326,2021-12-29 15:10:10,Platinum,Easy Ship,True,0.977
SELL00114,Reddy Trading,Maharashtra,Nashik,4.2,447,2023-11-12 07:34:50,Standard,Self Ship,False,0.843
SELL00115,Shah Trading,Tamil Nadu,Chennai,4.8,574,2023-11-27 18:16:31,Preferred,Self Ship,True,0.775
SELL00116,Gupta Trading,West Bengal,Howrah,3.9,62,2021-02-01 13:05:40,Standard,Self Ship,True,0.948
SELL00117,Yadav Enterprises,Telangana,Nizamabad,3.2,797,2021-08-18 10:42:53,Standard,Easy Ship,True,0.818
SELL00118,Iyer Mart,Uttar Pradesh,Kanpur,3.8,222,2021-01-31 00:04:12,Elite,FlipMart Fulfilled,False,0.942
SELL00119,Joshi Trading,Karnataka,Mysuru,4.3,320,2022-01-15 02:20:59,Preferred,FlipMart Fulfilled,True,0.915
SELL00120,Pandey Retail,West Bengal,Asansol,5.0,183,2023-12-31 21:17:10,Platinum,FlipMart Fulfilled,True,0.939
SELL00121,Nair Retail,Gujarat,Rajkot,4.5,316,2022-10-02 09:56:52,Preferred,Easy Ship,True,0.922
SELL00122,Malhotra Enterprises,Uttar Pradesh,Kanpur,3.8,790,2022-02-03 16:03:55,Preferred,Self Ship,True,0.829
SELL00123,Mishra Trading,Uttar Pradesh,Kanpur,3.6,175,2023-12-31 23:37:18,Standard,FlipMart Fulfilled,True,0.869
SELL00124,Joshi Retail,Maharashtra,Pune,3.1,321,2022-08-03 02:48:13,Standard,FlipMart Fulfilled,True,0.835
SELL00125,Sharma Trading,Telangana,Warangal,3.9,332,2021-10-08 09:47:27,Preferred,FlipMart Fulfilled,True,0.97
SELL00126,Iyer Retail,Karnataka,Mangaluru,3.7,295,2023-09-26 17:45:47,Preferred,Easy Ship,True,0.799
SELL00127,Mishra Enterprises,Tamil Nadu,Coimbatore,3.0,603,2023-11-14 02:28:56,Standard,Self Ship,False,0.975
SELL00128,Mehta Enterprises,Telangana,Karimnagar,4.3,134,2021-02-01 17:34:34,Standard,FlipMart Fulfilled,True,0.934
SELL00129,Kumar Retail,Delhi,Rohini,4.1,124,2023-08-25 16:16:25,Platinum,FlipMart Fulfilled,True,0.867
SELL00130,Patel Trading,Maharashtra,Pune,4.4,525,2021-07-23 00:06:59,Standard,FlipMart Fulfilled,True,0.892
SELL00131,Mishra Trading,Punjab,Patiala,3.0,185,2023-01-19 21:52:43,Standard,Easy Ship,True,0.842
SELL00132,Kumar Retail,West Bengal,Howrah,3.7,501,2022-02-21 06:53:31,Standard,FlipMart Fulfilled,True,0.894
SELL00133,Banerjee Trading,Karnataka,Mysuru,4.5,267,2023-03-01 03:19:19,Standard,Easy Ship,True,0.897
SELL00134,Verma Trading,Delhi,Rohini,3.7,426,2022-11-22 07:27:23,Preferred,FlipMart Fulfilled,True,1.0
SELL00135,Reddy Mart,West Bengal,Durgapur,3.4,392,2021-08-19 16:21:54,Standard,Self Ship,True,0.961
SELL00136,Sharma Retail,Karnataka,Mysuru,4.2,370,2024-01-11 12:13:21,Standard,Self Ship,True,1.0
SELL00137,Gupta Stores,West Bengal,Durgapur,3.6,282,2024-03-24 10:58:04,Elite,Self Ship,True,0.945
SELL00138,Garg Stores,Telangana,Karimnagar,3.9,177,2021-06-11 16:26:48,Platinum,FlipMart Fulfilled,True,0.93
SELL00139,Garg Trading,Rajasthan,Udaipur,3.8,740,2021-04-06 06:45:10,Standard,FlipMart Fulfilled,True,0.978
SELL00140,Tiwari Stores,Karnataka,Mysuru,3.9,393,2023-12-10 03:52:12,Elite,FlipMart Fulfilled,True,0.798
SELL00141,Mishra Retail,Madhya Pradesh,Jabalpur,4.7,559,2021-01-09 14:16:22,Standard,FlipMart Fulfilled,True,0.901
SELL00142,Tiwari Mart,Maharashtra,Nagpur,4.8,426,2021-06-22 06:14:31,Standard,Self Ship,True,0.864
SELL00143,Patel Trading,Punjab,Patiala,3.4,672,2021-03-19 09:42:15,Standard,Easy Ship,True,0.819
SELL00144,Mishra Trading,Uttar Pradesh,Varanasi,3.4,28,2022-08-15 13:50:49,Preferred,FlipMart Fulfilled,True,0.921
SELL00145,Singh Stores,Gujarat,Ahmedabad,4.2,403,2021-06-15 10:53:16,Preferred,FlipMart Fulfilled,True,0.907
SELL00146,Nair Enterprises,Telangana,Warangal,5.0,114,2023-12-19 06:30:21,Standard,FlipMart Fulfilled,True,0.934
SELL00147,Tiwari Enterprises,Karnataka,Mangaluru,4.1,225,2021-12-14 19:35:15,Preferred,FlipMart Fulfilled,True,0.83
SELL00148,Sharma Stores,Telangana,Nizamabad,4.1,678,2021-05-31 15:25:22,Standard,FlipMart Fulfilled,True,0.772
SELL00149,Kapoor Trading,Gujarat,Rajkot,4.2,549,2023-04-13 04:44:24,Standard,Self Ship,True,0.978
SELL00150,Malhotra Stores,Maharashtra,Nagpur,3.4,693,2021-04-30 23:20:27,Platinum,FlipMart Fulfilled,True,0.92
SELL00151,Verma Trading,Karnataka,Mysuru,4.0,789,2021-04-28 21:36:30,Elite,Easy Ship,True,0.834
SELL00152,Malhotra Enterprises,West Bengal,Howrah,5.0,194,2024-01-05 09:26:07,Standard,Self Ship,True,0.873
SELL00153,Joshi Retail,West Bengal,Durgapur,4.2,795,2023-03-30 12:28:09,Platinum,FlipMart Fulfilled,True,0.869
SELL00154,Agarwal Retail,Tamil Nadu,Chennai,3.7,163,2023-06-24 04:19:28,Preferred,Easy Ship,False,0.977
SELL00155,Verma Mart,Telangana,Hyderabad,3.8,302,2023-05-01 03:11:02,Platinum,Self Ship,True,0.761
SELL00156,Rao Enterprises,Telangana,Karimnagar,3.1,66,2021-06-01 14:07:29,Standard,FlipMart Fulfilled,True,0.864
SELL00157,Joshi Retail,Rajasthan,Udaipur,4.3,24,2021-01-17 11:36:45,Standard,Easy Ship,True,0.93
SELL00158,Shah Trading,Maharashtra,Pune,4.5,783,2021-06-19 23:13:36,Standard,FlipMart Fulfilled,True,1.0
SELL00159,Garg Mart,Gujarat,Rajkot,3.8,193,2021-12-16 06:34:09,Standard,FlipMart Fulfilled,True,0.918
SELL00160,Verma Trading,Gujarat,Rajkot,3.9,577,2023-08-18 16:25:30,Standard,FlipMart Fulfilled,True,0.906
SELL00161,Verma Enterprises,Karnataka,Bengaluru,4.2,179,2022-11-12 12:36:59,Standard,Self Ship,True,0.884
SELL00162,Pandey Trading,Rajasthan,Jodhpur,3.5,749,2022-03-12 22:34:59,Standard,FlipMart Fulfilled,True,0.84
SELL00163,Yadav Enterprises,Telangana,Nizamabad,4.3,411,2023-06-23 05:38:26,Standard,FlipMart Fulfilled,True,0.79
SELL00164,Sharma Retail,Karnataka,Bengaluru,4.4,595,2023-01-28 07:17:32,Preferred,Self Ship,True,0.978
SELL00165,Shah Mart,Karnataka,Hubli,5.0,168,2022-05-18 09:11:38,Elite,Easy Ship,True,0.813
SELL00166,Agarwal Trading,Tamil Nadu,Salem,3.7,628,2023-10-29 02:46:24,Platinum,Self Ship,True,0.891
SELL00167,Kumar Stores,Maharashtra,Nagpur,4.4,459,2021-08-06 07:57:14,Standard,FlipMart Fulfilled,True,0.852
SELL00168,Joshi Mart,Karnataka,Mysuru,4.6,355,2021-05-27 09:51:39,Platinum,Self Ship,True,0.937
SELL00169,Iyer Mart,Maharashtra,Pune,4.3,556,2021-01-06 22:17:50,Standard,FlipMart Fulfilled,True,0.84
SELL00170,Kapoor Trading,Maharashtra,Pune,3.6,561,2023-03-24 11:13:15,Standard,FlipMart Fulfilled,True,0.907
SELL00171,Joshi Enterprises,Delhi,Rohini,3.7,473,2022-12-16 17:29:05,Standard,Self Ship,False,0.874
SELL00172,Gupta Stores,Karnataka,Mangaluru,3.5,19,2022-01-25 02:20:26,Standard,FlipMart Fulfilled,True,0.827
SELL00173,Agarwal Retail,Tamil Nadu,Madurai,4.0,669,2023-09-26 05:26:31,Standard,FlipMart Fulfilled,True,0.786
SELL00174,Verma Retail,Delhi,New Delhi,3.3,496,2021-04-13 23:58:41,Preferred,Self Ship,True,1.0
SELL00175,Reddy Mart,Maharashtra,Pune,4.6,525,2022-04-22 19:05:18,Standard,Self Ship,True,0.795
SELL00176,Reddy Stores,Maharashtra,Nashik,2.9,749,2023-03-08 10:30:22,Standard,Easy Ship,True,0.911
SELL00177,Malhotra Mart,Madhya Pradesh,Gwalior,4.3,152,2021-03-31 02:53:04,Standard,FlipMart Fulfilled,False,0.894
SELL00178,Gupta Enterprises,West Bengal,Howrah,3.2,559,2022-05-19 20:43:51,Preferred,FlipMart Fulfilled,True,0.906
SELL00179,Malhotra Trading,Uttar Pradesh,Lucknow,5.0,673,2022-12-26 05:30:49,Platinum,FlipMart Fulfilled,True,0.889
SELL00180,Mehta Trading,Rajasthan,Udaipur,4.4,136,2023-01-28 12:05:42,Preferred,Self Ship,True,1.0
SELL00181,Patel Stores,Rajasthan,Kota,4.2,505,2023-08-23 01:25:26,Preferred,Easy Ship,True,0.833
SELL00182,Kapoor Enterprises,Karnataka,Mysuru,4.4,576,2021-03-01 19:06:52,Standard,Easy Ship,True,0.83
SELL00183,Das Retail,Gujarat,Vadodara,3.4,726,2021-10-08 08:21:08,Standard,Self Ship,True,0.897
SELL00184,Verma Enterprises,Kerala,Thiruvananthapuram,5.0,278,2024-01-05 00:56:44,Elite,FlipMart Fulfilled,True,0.796
SELL00185,Agarwal Mart,West Bengal,Howrah,2.9,721,2021-01-27 14:15:49,Standard,FlipMart Fulfilled,True,0.973
SELL00186,Banerjee Enterprises,Uttar Pradesh,Varanasi,4.1,597,2021-07-15 09:32:48,Platinum,Self Ship,False,0.915
SELL00187,Shah Enterprises,Madhya Pradesh,Indore,3.1,513,2022-03-10 18:04:37,Standard,Self Ship,False,0.85
SELL00188,Singh Mart,Telangana,Hyderabad,4.3,123,2022-01-25 15:51:10,Standard,FlipMart Fulfilled,True,0.879
SELL00189,Agarwal Retail,Karnataka,Hubli,3.5,273,2022-03-05 19:57:49,Standard,Self Ship,True,0.843
SELL00190,Agarwal Mart,Telangana,Karimnagar,3.8,720,2024-03-09 14:47:40,Standard,FlipMart Fulfilled,True,0.977
SELL00191,Banerjee Stores,Telangana,Nizamabad,4.0,180,2022-05-18 10:07:18,Preferred,FlipMart Fulfilled,True,1.0
SELL00192,Kumar Stores,Delhi,Rohini,4.6,413,2022-09-22 05:44:35,Preferred,Easy Ship,True,0.729
SELL00193,Verma Stores,Uttar Pradesh,Agra,2.6,65,2023-03-19 06:45:14,Standard,Easy Ship,True,0.939
SELL00194,Iyer Stores,Rajasthan,Jaipur,4.6,331,2021-06-08 15:13:06,Platinum,Easy Ship,True,0.891
SELL00195,Kapoor Retail,West Bengal,Asansol,2.4,37,2024-02-20 05:12:03,Preferred,Self Ship,True,0.803
SELL00196,Singh Trading,Gujarat,Rajkot,4.4,753,2023-08-12 16:11:33,Preferred,FlipMart Fulfilled,True,1.0
SELL00197,Rao Trading,Telangana,Nizamabad,4.3,99,2022-10-24 09:52:56,Preferred,FlipMart Fulfilled,True,0.856
SELL00198,Kumar Stores,Delhi,Dwarka,3.5,175,2023-04-07 02:47:13,Preferred,FlipMart Fulfilled,True,0.762
SELL00199,Malhotra Stores,Tamil Nadu,Madurai,2.8,582,2022-11-29 19:37:48,Standard,Self Ship,True,0.857
SELL00200,Joshi Stores,Karnataka,Hubli,3.8,233,2022-07-31 23:53:05,Preferred,Easy Ship,True,0.838
SELL00201,Nair Retail,Karnataka,Mysuru,4.1,194,2024-02-19 19:14:17,Standard,Self Ship,True,0.89
SELL00202,Kumar Stores,Kerala,Kochi,3.0,77,2024-02-24 14:18:59,Preferred,Self Ship,True,0.836
SELL00203,Nair Retail,Tamil Nadu,Madurai,3.5,379,2022-09-19 01:15:27,Preferred,FlipMart Fulfilled,True,0.848
SELL00204,Bajaj Enterprises,Telangana,Karimnagar,3.1,515,2022-12-11 23:19:37,Preferred,FlipMart Fulfilled,False,0.855
SELL00205,Pandey Mart,Maharashtra,Mumbai,2.9,492,2023-12-13 08:07:39,Platinum,FlipMart Fulfilled,True,0.789
SELL00206,Banerjee Stores,Karnataka,Hubli,3.1,518,2021-02-10 13:34:28,Standard,FlipMart Fulfilled,True,0.866
SELL00207,Agarwal Enterprises,Punjab,Ludhiana,4.5,346,2023-08-04 17:41:43,Standard,FlipMart Fulfilled,True,0.988
SELL00208,Das Mart,Telangana,Nizamabad,2.5,240,2021-10-28 02:56:06,Elite,FlipMart Fulfilled,True,0.848
SELL00209,Gupta Retail,Gujarat,Surat,3.7,257,2023-12-21 13:18:50,Standard,Easy Ship,True,0.832
SELL00210,Shah Retail,Uttar Pradesh,Agra,3.9,651,2022-09-09 04:09:53,Standard,Easy Ship,True,0.931
SELL00211,Das Trading,Tamil Nadu,Madurai,3.5,50,2024-03-11 01:54:33,Preferred,FlipMart Fulfilled,True,0.942
SELL00212,Banerjee Stores,Delhi,New Delhi,3.4,510,2023-10-16 03:27:48,Standard,FlipMart Fulfilled,True,0.852
